Name	last	absences	last.vote	first.vote	votings.absences	votings.n
Abramowicz Adam	PiS	784	X37493	X29021	784	8402
Adamczyk Andrzej	PiS	296	X37493	X29021	296	8402
Ajchler Romuald	SLD	1383	X37493	X29021	1383	8402
Aleksandrzak Leszek	SLD	1318	X37483	X29021	1308	8392
Andzel Waldemar	PiS	140	X37493	X29021	140	8402
Arent Iwona	PiS	656	X37493	X29021	656	8402
Arkit Tadeusz	PO	188	X37492	X29021	187	8401
Arndt Paweł	PO	176	X37493	X29021	176	8402
Arłukowicz Bartosz	PO	784	X37493	X29021	784	8402
Ast Marek	PiS	419	X37364	X29021	290	8273
Atamańczuk Cezary	niez.	5195	X37359	X32372	1753	4960
Augustyn Urszula	PO	97	X37493	X29021	97	8402
Aziewicz Tadeusz	PO	60	X37493	X29021	60	8402
Babalski Zbigniew	PiS	182	X37493	X29021	182	8402
Babinetz Piotr	PiS	212	X37493	X29021	212	8402
Balcerzak Klaudiusz	PO	5979	X37493	X35050	12	2435
Balicki Marek	SLD	635	X37493	X29021	635	8402
Bartuś Barbara	PiS	437	X37492	X29021	436	8401
Bańkowska Anna	SLD	1062	X37364	X29021	933	8273
Biernacki Marek	PO	98	X37493	X29021	98	8402
Biernat Andrzej	PO	545	X37493	X29021	545	8402
Bogucki Jacek	PiS	301	X37493	X29021	301	8402
Bojko Bogdan	PO	274	X37493	X29021	274	8402
Borkowski Krzysztof	PSL	3588	X37491	X32372	278	5092
Borowczak Jerzy	PO	5753	X37493	X34684	149	2798
Borowiak Łukasz	PO	5981	X37493	X35050	14	2435
Borowski Marek	SDPL	1856	X37364	X29021	1727	8273
Brejza Krzysztof	PO	17	X37493	X29021	17	8402
Brodniak Roman	PO	649	X37492	X29021	648	8401
Brudziński Joachim	PiS	1150	X37364	X29021	1021	8273
Brzezinka Jacek	PO	49	X37493	X29021	49	8402
Bublewicz Beata	PO	574	X37493	X29021	574	8402
Budnik Jerzy	PO	109	X37493	X29021	109	8402
Bukiewicz Bożenna	PO	449	X37493	X29021	449	8402
Bury Jan s. Antoniego	PiS	4633	X37493	X29021	4633	8402
Bury Jan s. Józefa	PSL	2880	X37364	X29023	2750	8272
Butryn Renata	PO	197	X37493	X29021	197	8402
Buła Andrzej	PO	176	X37493	X29021	176	8402
